DI,NPOC,0.3849, TN,0.1253,,,,
DI,NPOC,0.2891, TN,0.03952,,,,
TC1,NPOC,1.008, TN,0.00599,,,,
TC2,NPOC,1.9, TN,0.02202,,,,
TC5,NPOC,4.595, TN,0,,,,
TC10,NPOC,9.446, TN,0,,,,
TC15,NPOC,13.79, TN,0.00914,,,,
DI,NPOC,0.08928, TN,0,,,,
TN1,NPOC,0.1902, TN,0.8841,,,,
TN2,NPOC,0.147, TN,1.768,,,,
TN5,NPOC,0.136, TN,4.524,,,,
TN10,NPOC,0.1034, TN,8.631,,,,
DI,NPOC,0.112, TN,0,,,,
NO UV F1,NPOC,45.54, TN,0.6326,NPOC,47.65,TN,0.9146
2,NPOC,2.616, TN,0.5811,NPOC,3.153,TN,0.8329
3,NPOC,33.98, TN,0.3716,NPOC,37.37,TN,0.656
4,NPOC,2.955, TN,0.7388,NPOC,3.2,TN,1.051
5,NPOC,25.21, TN,0.3562,NPOC,28.06,TN,0.642
6,NPOC,3.429, TN,0.4218,NPOC,3.495,TN,0.7122
DI,NPOC,0.2137, TN,0,NPOC,0.143,TN,0
7,NPOC,14.76, TN,0.3538,NPOC,16.45,TN,0.5853
8,NPOC,4.308, TN,0.1879,NPOC,4.566,TN,0.3547
9,NPOC,17.54, TN,0.3744,NPOC,23.82,TN,0.6244
10,NPOC,4.592, TN,0.7572,NPOC,5.391,TN,1.229
11,NPOC,19.5, TN,0.3867,NPOC,19.13,TN,0.4659
12,NPOC,4.995, TN,0.6166,NPOC,5.58,TN,0.9694
DI,NPOC,0.1764, TN,0.00941,NPOC,0.1867,TN,0
13,NPOC,13.37, TN,0.3019,NPOC,14.33,TN,0.5185
14,NPOC,5.793, TN,0.3437,NPOC,6.821,TN,0.4557
15,NPOC,7.989, TN,0.3623,NPOC,9.825,TN,0.4531
16,NPOC,6.802, TN,0.427,NPOC,8.37,TN,0.6772
17,NPOC,7.863, TN,0.2886,NPOC,8.907,TN,0.451
18,NPOC,9.12, TN,0.3113,NPOC,10.24,TN,0.4934
DI,NPOC,0.1829, TN,0,NPOC,0.1995,TN,0
19,NPOC,4.338, TN,0.6003,NPOC,4.841,TN,0.8143
20,NPOC,8.068, TN,0.3463,NPOC,9.444,TN,0.6048
21,NPOC,4.032, TN,0.5385,NPOC,4.421,TN,0.8209
22,NPOC,11.57, TN,0.3739,NPOC,13.73,TN,0.5376
23,NPOC,3.555, TN,0.6346,NPOC,3.635,TN,0.9668
24,NPOC,15.94, TN,0.4271,NPOC,18.44,TN,0.6044
DI,NPOC,0.3811, TN,0,NPOC,0.2154,TN,0
25,NPOC,3.197, TN,0.7418,NPOC,3.169,TN,0.8702
26,NPOC,16.5, TN,0.4198,NPOC,18.24,TN,0.6394
27,NPOC,2.901, TN,0.6797,NPOC,3.281,TN,0.9543
28,NPOC,29.56, TN,0.6391,NPOC,30.28,TN,0.7905
29,NPOC,2.632, TN,0.9082,NPOC,3.285,TN,1.199
30,NPOC,51.84, TN,0.732,NPOC,51.45,TN,0.8601
DI,NPOC,0.2299, TN,0,NPOC,0.2164,TN,0
NO UV NF1,NPOC,43.27, TN,0.5411,NPOC,47.65,TN,0.9146
2,NPOC,2.865, TN,0.7967,NPOC,3.153,TN,0.8329
3,NPOC,32.7, TN,0.4703,NPOC,37.37,TN,0.656
4,NPOC,3.218, TN,0.9229,NPOC,3.2,TN,1.051
5,NPOC,24.57, TN,0.3711,NPOC,28.06,TN,0.642
6,NPOC,3.32, TN,0.6448,NPOC,3.495,TN,0.7122
DI,NPOC,0.1925, TN,0,NPOC,0.143,TN,0
7,NPOC,11.96, TN,0.4247,NPOC,16.45,TN,0.5853
8,NPOC,4.124, TN,0.2381,NPOC,4.566,TN,0.3547
9,NPOC,17.87, TN,0.398,NPOC,23.82,TN,0.6244
10,NPOC,4.618, TN,0.8707,NPOC,5.391,TN,1.229
11,NPOC,13.83, TN,0.3385,NPOC,19.13,TN,0.4659
12,NPOC,4.898, TN,0.6915,NPOC,5.58,TN,0.9694
DI,NPOC,0.2019, TN,0,NPOC,0.1867,TN,0
13,NPOC,12.04, TN,0.3966,NPOC,14.33,TN,0.5185
14,NPOC,5.836, TN,0.5912,NPOC,6.821,TN,0.4557
15,NPOC,7.203, TN,0.3019,NPOC,9.825,TN,0.4531
16,NPOC,6.605, TN,0.647,NPOC,8.37,TN,0.6772
17,NPOC,6.916, TN,0.3087,NPOC,8.907,TN,0.451
18,NPOC,8.012, TN,0.3422,NPOC,10.24,TN,0.4934
DI,NPOC,0.2275, TN,0.1411,NPOC,0.1995,TN,0
19,NPOC,4.382, TN,0.6521,NPOC,4.841,TN,0.8143
20,NPOC,7.353, TN,0.5154,NPOC,9.444,TN,0.6048
21,NPOC,3.949, TN,0.6761,NPOC,4.421,TN,0.8209
22,NPOC,10.39, TN,0.4603,NPOC,13.73,TN,0.5376
23,NPOC,3.515, TN,0.7162,NPOC,3.635,TN,0.9668
24,NPOC,14.89, TN,0.396,NPOC,18.44,TN,0.6044
DI,NPOC,0.2377, TN,0,NPOC,0.2154,TN,0
25,NPOC,3.004, TN,0.849,NPOC,3.169,TN,0.8702
26,NPOC,14.26, TN,0.4598,NPOC,18.24,TN,0.6394
27,NPOC,2.895, TN,0.8187,NPOC,3.281,TN,0.9543
28,NPOC,26.65, TN,0.5758,NPOC,30.28,TN,0.7905
29,NPOC,2.786, TN,0.8383,NPOC,3.285,TN,1.199
30,NPOC,50.37, TN,0.7287,NPOC,51.45,TN,0.8601
DI,NPOC,0.2622, TN,0,NPOC,0.2164,TN,0
UP,NPOC,0.2537, TN,0.00245,NPOC,0.1353,TN,0.0459
UP,NPOC,0.1876, TN,0,NPOC,0.1077,TN,0.03426