,mod.ghg,df,AIC,
m1.T0.CO2,"Treatment +s(plant.mass..g, by=Treatment)",8.9,161.3,-20.3
m2.T0.CO2,Treatment + s(plant.mass..g),4.0,176.0,
m3.T0.CO2,s(plant.mass..g),3.0,181.6,
m1.T1.CO2,"Treatment +s(plant.mass..g, by=Treatment)",9.2,271.2,-8.1
m2.T1.CO2,Treatment + s(plant.mass..g),6.6,272.9,
m3.T1.CO2,s(plant.mass..g),5.4,279.3,
m1.T2.CO2,"Treatment +s(plant.mass..g, by=Treatment)",10.2,269.6,-14.1
m2.T2.CO2,Treatment + s(plant.mass..g),4.0,285.4,
m3.T2.CO2,s(plant.mass..g),3.0,283.7,
m1.T3.CO2,"Treatment +s(plant.mass..g, by=Treatment)",7.2,268.0,-8.8
m2.T3.CO2,Treatment + s(plant.mass..g),5.4,277.1,
m3.T3.CO2,s(plant.mass..g),4.3,276.8,